British Isles,British Islands,United Kingdom,Great Britain,Ireland (Island)
Ireland (State),Nothern Ireland,Nothern Ireland,Scotland,Ireland (State)
Nothern Ireland,Scotland,Scotland,England,Nothern Ireland
Scotland,England,England,Wales,
England,Wales,Wales,,
Wales,Isle of Man,,,
Isle of Man,Guernsey,,,
Guernsey,Jersey,,,
Jersey,,,,
